ST Customer,Dispensary Name,Street Address,City,Zip Code,County,BLS Region,License Number
Echelon,Terrabis - Dixon,1679 S Galena Ave.,Dixon,61021,Lee,Northwest Illinois nonmetropolitan area,284000351
Echelon,Terrabis - Grayville,105 Koehler St.,Grayville,62844,White,South Illinois Nonmetropolitan,284000227
Six Labs,NuEra - Champaign,102 E. Green St.,Champaign,61820,Champaign,Champaign-Urbana,284000115
Six Labs,NuEra - East Dubuque,20170 US Highway 20 W,East Dubuque,61025,Jo Daviess,Northwest Illinois nonmetropolitan area,284000211
Six Labs,NuEra - Urbana,105 E University Ave,Urbana,61801,Champaign,Champaign-Urbana,280000046
Curaleaf,Curaleaf - Deerfield,677 Lake Cook Rd,Deerfield,60015,Lake,Chicago-Naperville-Elgin,280000018
Curaleaf,Curaleaf - Morris,2400 W US Route 6,Morris,60450,Grundy,Chicago-Naperville-Elgin,280000037
Curaleaf,Curaleaf - New Lenox,705 E Lincoln Hwy.,New Lenox,60451,Will,Chicago-Naperville-Elgin,280000017
Curaleaf,Curaleaf - Northbrook,755 Skokie Blvd.,Northbrook,60602,Cook,Chicago-Naperville-Elgin,284000090
Curaleaf,Curaleaf - Skokie,10000 Skokie Blvd,Skokie,60077,Cook,Chicago-Naperville-Elgin,284000093
Curaleaf,Zen Leaf - Highland Park,2030 Skokie Valley Rd,Highland Park,60035,Lake,Chicago-Naperville-Elgin,280000032
Curaleaf,Zen Leaf - Prospect Heights,1434 N Rand Rd.,Prospect Heights,60070,Cook,Chicago-Naperville-Elgin,284000081
Curaleaf,Zen Leaf - Rogers Park,7305 N Rogers Ave,Chicago,60626,Cook,Chicago-Naperville-Elgin,280000054
Drecisco Farms,Imperial Products,2638 Davisson ST,River Grove,60171,Cook,Chicago-Naperville-Elgin,IN00000012
KANHA,Phili - Bourbonnais,1300 Locke Dr.,Bourbonnais,60914,Kankakee,Kankakee,284000229
KANHA,Terrace - Milan,800 Tech Dr,Milan,61264,Rock Island,Davenport-Moline-Rock Island,284000176
Revolution,Bud and Ritas - Wadsworth,41509 N US Highway 41,Wadsworth,60083,Lake,Chicago-Naperville-Elgin,284000277
Revolution,Revolution - Maryville,2533 Vandalia St,Collinsville,62234,Madison,"St. Louis, MO",284000167
Revolution,Revolution - Moline,4301 44th Ave,Moline,61265,Rock Island,Davenport-Moline-Rock Island,284000174
Revolution,Rise - Joliet  Colorado Ave,2903 Colorado Ave.,Joliet,60431,Will,Chicago-Naperville-Elgin,284000044
Revolution,Starbuds - Burbank,7844 S Cicero Ave,Burbank,60459,Cook,Chicago-Naperville-Elgin,284000285
Revolution,Starbuds - Riverside,2704 Harlem Ave,Riverside,60546,Cook,Chicago-Naperville-Elgin,284000268
Revolution,Starbuds - Westmont,101 W Ogden Ave,Westmont,60559,DuPage,Chicago-Naperville-Elgin,284000164
Revolution,Terrace - Alton,1400 E Broadway,Alton,62002,Madison,"St. Louis, MO",284000258
Revolution,Zen Leaf - Pilsen,1301 S Western Ave,Chicago,60608,Cook,Chicago-Naperville-Elgin,280000051
Revolution,Zen Leaf - Rogers Park,7305 N Rogers Ave,Chicago,60626,Cook,Chicago-Naperville-Elgin,280000054
Revolution,Dutchess - Lynwood,20513 Torrence Ave,Lynwood,60411,Will,Chicago-Naperville-Elgin,284000158
Revolution,Dutchess - Markham,3063 W 159th St.,Markham,60428,Cook,Chicago-Naperville-Elgin,284000159
Revolution,Dutchess Cannabis - Oak Park,1132 Lake St,Oak Park,60301,Cook,Chicago-Naperville-Elgin,28000041
Revolution,Market 96 - Owego,1144 Douglas Rd.,Oswego,60543,Kendall,Chicago-Naperville-Elgin,284000238
Revolution,Revolution - Normal,1609 Northbrook Dr,Normal,61761,McLean,Bloomington,284000221
Revolution,Revolution - Schaumburg,820 E. Golf Rd.,Schaumburg,60173,Cook,Chicago-Naperville-Elgin,284000123
Revolution,Rise - Lake in the Hills,270 N Randall Rd,Lake In The Hills,60156,McHenry,Chicago-Naperville-Elgin,284000110
Revolution,Rise - Mundelein,1325 Armour Blvd,Mundelein,60060,Lake,Chicago-Naperville-Elgin,280000002
Revolution,Rise - Niles,9621 N Milwaukee Ave.,Niles,60714,Cook,Chicago-Naperville-Elgin,284000055
Revolution,Starbuds - Hoffman Estates,5 E Golf Rd,Hoffman Estates,60169,Cook,Chicago-Naperville-Elgin,284000271
Revolution,Terrace - Milan,800 Tech Dr,Milan,61264,Rock Island,Davenport-Moline-Rock Island,284000176
Revolution,Terrace - Moline,2727 Avenue of the Cities,Moline,61265,Rock Island,Davenport-Moline-Rock Island,284000175
Revolution,Zen Leaf - Highland Park,2030 Skokie Valley Rd,Highland Park,60035,Lake,Chicago-Naperville-Elgin,280000032
Revolution,Zen Leaf - Prospect Heights,1434 N Rand Rd.,Prospect Heights,60070,Cook,Chicago-Naperville-Elgin,284000081
Curaleaf,Curaleaf - Justice,8340 S Roberts Rd,Justice,60458,Cook,Chicago-Naperville-Elgin,280000021
Curaleaf,Curaleaf - Lincoln Park,923 W. Weed St.,Chicago,60642,Cook,Chicago-Naperville-Elgin,284000089
Echelon,High Profile - Springfield,4211 Conestoga Dr,Springfield,62711,Sangamon,Springfield,284000178
Echelon,Mystic Greenz - Belleville,360 S Green Mount Rd,Belleville,62221,St. Clair,"St. Louis, MO",284000330
KANHA,Altius - Round Lake Beach,993 E Rollins Rd,Round Lake Beach,60073,Lake,Chicago-Naperville-Elgin,284000163
KANHA,Terrace - Alton,1400 E Broadway,Alton,62002,Madison,"St. Louis, MO",284000258
KANHA,Bridge City - East Dubuque,122 Sinsinawa Ave,East Dubuque,61025,Jo Daviess,Northwest Illinois nonmetropolitan area,284000307
Revolution,Bisa Lina - Carol Stream,720 E North Ave,Carol Stream,60188,DuPage,Chicago-Naperville-Elgin,284000318
Revolution,Dutchess Cannabis - Morton Grove,6761 Dempster St,Morton Grove,60053,Cook,Chicago-Naperville-Elgin,284000106
Revolution,Revolution - Mt Prospect,2015 E Euclid Ave,Mt Prospect,60056,Cook,Chicago-Naperville-Elgin,280000015
Revolution,Seven Point - Danville,380 Eastgate Dr.,Danville,61834,Vermilion,Danville,284000316
Revolution,Zen Leaf - St. Charles,3691 E. Main St.,Saint Charles,60174,Kane,Chicago-Naperville-Elgin,280000020
Six Labs,Windy City Cannabis - Litchfield,719 W Union Ave,Litchfield,62056,Montgomery,West Central Illinois Nonmetropolitan,280000052
Six Labs,Windy City Cannabis - Macomb,518 W Jackson St,Macomb,61455,McDonough,West Central Illinois Nonmetropolitan,284000112
Six Labs,Cookies - Pontoon Beach,5111 State Route 111,Pontoon Beach,62040,Madison,"St. Louis, MO",284000320
Timeless Select,Beyond Hello - Bloomington,118 Keaton Place,Bloomington,61704,McLean,Bloomington,284000085
Timeless Select,Beyond/Hello - Normal,501 W Northtown Rd,Normal,61761,McLean,Bloomington,280000045
Timeless Select,Beyond/Hello - Peoria,7620 N IL Rt 91,Peoria,61615,Peoria,Peoria,284000233
Timeless Select,Beyond Hello - Mississippi Ave,1401 Mississippi Ave. Ste. 17,Sauget,62201,St. Clair,"St. Louis, MO",284000079
Timeless Select,Beyond/Hello - Goose Lake,2021 Goose Lake Rd,Sauget,62206,St. Clair,"St. Louis, MO",280000043
Curaleaf,Beyond Hello - Bloomington,118 Keaton Place,Bloomington,61704,McLean,Bloomington,284000085
Curaleaf,Beyond/Hello - Normal,501 W Northtown Rd,Normal,61761,McLean,Bloomington,280000045
Curaleaf,Beyond/Hello - Peoria,7620 N IL Rt 91,Peoria,61615,Peoria,Peoria,284000233
Curaleaf,Ivy Hall - Bolingbrook,361 S Bolingbrook Dr,Bolingbrook,60440,Will,Chicago-Naperville-Elgin,284000183
Curaleaf,Ivy Hall - Glendale Heights,2130 Bloomingdale Rd Unit B,Glendale Heights,60139,DuPage,Chicago-Naperville-Elgin,284000182
Curaleaf,Ivy Hall - Logan Square,3115 W Armitage Ave,Chicago,60647,Cook,Chicago-Naperville-Elgin,284000184
Curaleaf,Ivy Hall - Peoria,3929 W. War Memorial Dr,Peoria,61615,Peoria,Peoria,284000230
Curaleaf,Windy City Cannabis - Homewood,1137 W. 175th St,Homewood,60430,Cook,Chicago-Naperville-Elgin,280000019
Curaleaf,Windy City Cannabis - Posen,2535 Veterans Dr,Posen,60469,Cook,Chicago-Naperville-Elgin,280000026
Revolution,Curaleaf - Deerfield,677 Lake Cook Rd,Deerfield,60015,Lake,Chicago-Naperville-Elgin,280000018
Revolution,Curaleaf - Justice,8340 S Roberts Rd,Justice,60458,Cook,Chicago-Naperville-Elgin,280000021
Revolution,Curaleaf - Lincoln Park,923 W. Weed St.,Chicago,60642,Cook,Chicago-Naperville-Elgin,284000089
Revolution,Curaleaf - Melrose Park,1413 West North Ave.,Melrose Park,60160,Cook,Chicago-Naperville-Elgin,284000091
Revolution,Curaleaf - Morris,2400 W US Route 6,Morris,60450,Grundy,Chicago-Naperville-Elgin,280000037
Revolution,Curaleaf - New Lenox,705 E Lincoln Hwy.,New Lenox,60451,Will,Chicago-Naperville-Elgin,280000017
Revolution,Curaleaf - Northbrook,755 Skokie Blvd.,Northbrook,60602,Cook,Chicago-Naperville-Elgin,284000090
Revolution,Curaleaf - Skokie,10000 Skokie Blvd,Skokie,60077,Cook,Chicago-Naperville-Elgin,284000093
Revolution,Curaleaf - Westmont,11 E. Ogden Ave.,Westmont,60559,DuPage,Chicago-Naperville-Elgin,284000117
Revolution,Curaleaf - Worth,11425 S Harlem Ave,Worth,60482,Cook,Chicago-Naperville-Elgin,280000023
Revolution,Mission - Calumet City,1330 Torrence Ave.,Calumet City,60409,Cook,Chicago-Naperville-Elgin,284000075
Revolution,Mission - Chicago,8554 S Commercial Ave,Chicago,60617,Cook,Chicago-Naperville-Elgin,280000053
Curaleaf,Ivy Hall - Montgomery,1970 Caterpillar Dr,Montgomery,60538,Kane,Chicago-Naperville-Elgin,284000181
Curaleaf,Smokehouse - Fox Lake,44 S US Highway 12,Fox Lake,60020,Lake,Chicago-Naperville-Elgin,284000347
Revolution,Phili - Bourbonnais,1300 Locke Dr.,Bourbonnais,60914,Kankakee,Kankakee,284000229
Curaleaf,Cloudhaven - South Beloit,1322 Gardner St.,South Beloit,61080,Winnebago,Rockford,284000166
Curaleaf,Rise - Charleston,909 Lincoln Ave.,Charleston,61920,Coles,East Central IL Nonmetropolitan,284000130
Curaleaf,Rise - Effingham,1011 Ford Ave Ste C,Effingham,62401,Effingham,East Central IL Nonmetropolitan,280000042
Curaleaf,The Happy Cannabis Company - Loves Park,4120 N Bell School Rd,Loves Park,61111,Winnebago,Rockford,284000102
Curaleaf,The Happy Cannabis Company - Rockford,4777 Stenstrom Rd,Rockford,61109,Winnebago,Rockford,284000011
