License Number,License Name,Address,City,Zip,Common Name,Zone
2461208577,NPI Hillcrest Investors,16280 E Twombly Rd, Rochelle,61068,,2
9565789844,Curative Health Cultivation,2229 Diehl Rd, Aurora,60502,,1.4
6412206849,IL Grown Medicine,5500 Adams Street, Matteson,60443,,1.3
3906164783,Bedford Grow,5550 W 70Th Pl, Bedford Park,60638,,1.3
5884404068,Cresco Labs,3301 Centerpoint Way, Joliet,60436,,1.3
3017292370,PharmaCann Inc,1200 E Mazon Ave, Dwight,60420,,3
6172934510,GTI Rock Island,8221 51St St W, Rock Island,61201,,2
2744706655,Revolution,1 Revolution Way, Delavan,61734,Revolution,3
5938268689,Shelby County Community Services,1810 W South 3Rd St, Shelbyville,62565,,7
6857980886,Cresco Labs,1432 1800Th St, Lincoln,62656,,3
8438950835,Progressive Treatment Solutions,737 Locust St, E Saint Louis,62201,,8
8229086996,JG IL,93 Route 37, Edgewood,62426,,7
4959621923,IESO,3235 New Era Rd, Murphysboro,62966,,9
6312337061,Nature's Grace and Wellness,230 E. Van Fossen Rd, Vermont,61484,,3
5236890752,In Grown Farms,3597 E Colby Rd, Freeport,61032,,2
7850712058,GTI Oglesby,110 E 4Th Rd, Oglesby,61348,,5
1157922762,Compass Ventures,815 Industrial Dr, Litchfield,62056,Curaleaf,8
7435572913,Ataraxia,884 Industrial Dr., Albion,62806,,10
1.15243E+13,Ascend Illinois,1 310Th Ave, Barry,62312,,6
6105021777,Cresco Labs,3625 S Us Highway 45 52, Kankakee,60901,,5
2086049319,Wellness Group Pharms,690 Lick Creek Rd, Anna,62906,,9
CG00000088,Wyvern Botanicals,1201 E Morton Ave, Jacksonville,62650,,6
CG00000025,SB IL Grow,3381 Forest View Rd, Rockford,61109,,2
CG00000007,Illinois Collective,170 Detroit St, Cary,60013,,1.2
CG00000006,Helios Labs,2150 Parkes Dr, Broadview,60155,,1.4
CG00000015,Oregonix Farms,16520 Harmony Rd, Huntley,60142,,2
CG00000022,Galaxy Labs,22240 Governors Hwy, Richton Park,60471,,1.3
CG00000020,Cannect Gardens,3700 Sandra St, Franklin Park,60131,Cannect Wellness (CW),1.4
CG00000023,Hi Rise Group,32040 S Route 45, Peotone,60468,,5
CG00000082,CRIG Inc.,25 Airport Dr, Rockford,61109,,2
CG00000019,11th Level,1125 Carnegie Street, Rolling Meadows,60008,,1.2
CG00000004,Green Growth Group,13224 N Chestnut Ln, Mount Vernon,62864,,9
CG00000042,DRECISCO FARMS,21906 W Grant Hwy, Marengo,60152,Drecisco Farms (DF),2
CG00000021,Flora Arbor,1300 Abbott Dr, Elgin,60123,,1.2
CG00000058,Realeaf Botanicals,1777 2Nd Avenue North, Silvis,61282,Realeaf Botanicals (RL),2
CG00000067,Green Card Veterans of Broadview,3 Donna Dr, Tilton,61833,,4
CG00000061,COPACK INDUSTRIES,3451 Lumber Ln, Springfield,62707,,6
CG00000085,CRAFT SALES R US,2400 Greenleaf Ave, Elk Grove Vlg,60007,Echelon (EL),1.2
CG00000098,SOL-CANNA,800 31St Ave, Fulton,61252,Sol Canna (SC),2
CG00000060,Herb Haus Holdings,4131 W. Albany Street & 4161 W. Albany Street, Mchenry,60050,,1.2
CG00000068,Green Card Veterans of McHenry,3707 N Division St, Morris,60450,,5
CG00000081,RB Vending Investments,3201 E End Ave, S Chicago Hts,60411,,1.3
CG00000026,NBCG Partners,300 American Way, Du Quoin,62832,Elevated Cannabis (EC),9
IN00000055,Mastoura Corporation,2355 N Damen Ave, Chicago,60647,,1
IN00000008,Elevated Organics,5838 Howard St, Skokie,60077,Elevated Organics (EO),1.2
IN00000039,Vertical Management,20 Nw Hwy., Cary,60013,,1.2
IN00000046,HDC Group,1291 Brummel Ave, Elk Grove Vlg,60007,Timeless Select,1.2
IN00000037,Culinary Cannabis Co,1245 E. Forest Ave, Des Plaines,60018,Culinary Cannabis Co (CC),1.2
IN00000034,CRM Enterprises,1525 Paramount Pkwy, Batavia,60510,,1.4
IN00000026,1248 IP Holdings,1121 Hickox, Lincoln,62656,KANHA,3
IN00000044,Illinois Kindness Four,7537 Central Ave, Skokie,60077,,1.2
IN00000015,CentoVentiCinque,2620 Auburn St., Rockford,61101,,2
IN00000035,CNS Harvest,6360 Emerald Parkway, Monee,60449,Rove Brand (RO),1.3
IN00000016,Future of the Leaf Infusers,3900 Mercy Dr., Mchenry,60050,,1.2
IN00000012,Imperial Products,2638 Davisson Street, River Grove,60171,,1.2
IN00000028,SLI,1411 S Eastwood Dr, Woodstock,60098,Six Labs,1.2
IN00000027,MMXX Capital Partners,5436 S Harlem Ave, Summit,60510,,1.3
IN00000005,Contract Canna,17475 Palmer Blvd, Hazel Crest,60430,,1.3
IN00000007,Baked Buds Company,1958 W. Lake St, Chicago,60612,,1
IN00000029,Krown LLC,845 Brenkman Dr., Pekin,61554,,3
