Disp,Address,City,Zip,County,Del. zone,License #,District #,District,Opened
Dutchess - Oak Park,1132 Lake St,Oak Park,60301,Cook,Zone 5.51,28000041,5,Chicago-Naperville-Elgin,8/22/2019
Consume - Marion,8195 Express Dr,Marion,62959,Marion,Zone 17.2,280000001,3,East Central IL Nonmetropolitan,8/24/2019
Rise - Mundelein,1325 Armour Blvd,Mundelein,60060,Lake,Zone 5.71,280000002,5,Chicago-Naperville-Elgin,9/18/2019
Rise - Canton,3104 N Main St,Canton,61520,Fulton,Zone 15.0,280000003,15,West Central Illinois Nonmetropolitan,9/19/2019
EarthMed - Addison,852 S Westgate St,Addison,60101,DuPage,Zone 5.52,280000005,5,Chicago-Naperville-Elgin,10/21/2019
Verilife - N Aurora,2080 West Orchard Rd,North Aurora,60542,Kane,Zone 5.61,280000006,5,Chicago-Naperville-Elgin,10/27/2019
Verilife - Arlington Heights,1816 S Arlington Heights Rd,Arlington Heights,60005,Cook,Zone 5.91,280000007,5,Chicago-Naperville-Elgin,10/27/2019
Verilife - Ottawa,4100 Columbus St,Ottawa,61350,LaSalle,Zone 14.1,280000008,14,Northwest Illinois nonmetropolitan area,10/28/2019
Zen Leaf - Evanston,1804 Maple Ave,Evanston,60201,Cook,Zone 5.2,280000009,5,Chicago-Naperville-Elgin,11/9/2019
Mapleglen - Rockford,4777 Stenstrom Rd,Rockford,61109,Winnebago,Zone 11.0,280000010,11,Rockford,11/16/2019
Rise - Joliet (Rock Creek),1627 Rock Creek Blvd,Joliet,60431,Will,Zone 5.72,280000011,5,Chicago-Naperville-Elgin,11/19/2019
Dispensary 33 - Clark,5001 N Clark St,Chicago,60640,Cook,Zone 5.2,280000012,5,Chicago-Naperville-Elgin,11/19/2019
Sunnyside - Rockford,2696 McFarland Rd,Rockford,61107,Winnebago,Zone 11.0,280000013,11,Rockford,11/24/2019
Trinity - Peoria (University),3125 N University St Ste B,Peoria,61604,Peoria,Zone 10.0,280000014,10,Peoria,11/30/2019
Revolution - Mt Prospect,2015 E Euclid Ave,Mt Prospect,60056,Cook,Zone 5.92,280000015,5,Chicago-Naperville-Elgin,12/1/2019
Sunnyside - Buffalo Grove,830 Milwaukee Ave,Buffalo Grove,60089,Lake,Zone 5.3,280000016,5,Chicago-Naperville-Elgin,12/7/2019
Curaleaf - New Lenox,705 E Lincoln Hwy.,New Lenox,60451,Will,Zone 5.81,280000017,5,Chicago-Naperville-Elgin,12/9/2019
Curaleaf - Deerfield,677 Lake Cook Rd,Deerfield,60015,Lake,Zone 5.3,280000018,5,Chicago-Naperville-Elgin,12/5/2019
Windy City - Homewood,1137 W. 175th St,Homewood,60430,Cook,Zone 5.81,280000019,5,Chicago-Naperville-Elgin,12/21/2019
Zen Leaf - St. Charles,3691 E. Main St.,Saint Charles,60174,Kane,Zone 5.61,280000020,5,Chicago-Naperville-Elgin,12/23/2019
Curaleaf - Justice,8340 S Roberts Rd,Justice,60458,Cook,Zone 5.71,280000021,5,Chicago-Naperville-Elgin,1/4/2020
Ascend - Collinsville,1014 Eastport Plaza Dr,Collinsville,62234,Madison,Zone 12.0,280000022,12,St. Louis,1/7/2019
Curaleaf - Worth,11425 S Harlem Ave,Worth,60482,Cook,Zone 5.71,280000023,5,Chicago-Naperville-Elgin,1/15/2020
Natures Care - Rolling Meadows,975 Rohlwing Rd,Rolling Meadows,60008,Cook,Zone 5.92,280000024,5,Chicago-Naperville-Elgin,1/22/2019
Natures Treatment - Milan ,973 Tech Dr,Milan,61264,Rock Island,Zone 7.0,280000025,7,Davenport-Moline-Rock Island,1/25/2020
Windy City - Posen,2535 Veterans Dr,Posen,60469,Cook,Zone 5.8,280000026,5,Chicago-Naperville-Elgin,1/29/2020
Rise - Naperville,1700 Quincy Ave Ste 103,Naperville,60540,DuPage,Zone 5.61,280000027,5,Chicago-Naperville-Elgin,1/29/2020
Ascend Moca - Logan Square,2367 N Milwaukee Ave.,Chicago,60647,Cook,Zone 5.1,280000028,5,Chicago-Naperville-Elgin,2/1/2020
Ascend - Springfield (Downtown),628 E Adams St,Springfield,62701,Sangamon,Zone 13.0,280000029,13,Springfield,2/3/2020
Verilife - Romeoville,412 N Weber Rd,Romeoville,60446,Will,Zone 5.72,280000030,5,Chicago-Naperville-Elgin,3/7/2019
Thrive - Harrisburg,105 N Veterans Drive,Harrisburg,62946,Saline,Zone 17.0,280000031,17,South Illinois Nonmetropolitan,3/14/2019
Zen Leaf - Highland Park,2030 Skokie Valley Rd,Highland Park,60035,Lake,Zone 5.3,280000032,5,Chicago-Naperville-Elgin,3/18/2019
Midway by Ascend - Chicago,5648 S Archer Ave,Chicago,60638,Cook,Zone 5.71,280000033,5,Chicago-Naperville-Elgin,4/13/2019
Sunnyside - Elmwood Park,7955 W Grand Ave,Elmwood Park,60707,Cook,Zone 5.52,280000034,5,Chicago-Naperville-Elgin,4/18/2019
Sunnyside - Champaign,1704 S Neil St Ste C,Champaign,61820,Champaign,Zone 4.0,280000035,4,Champaign-Urbana,4/26/2019
Nuera - Chicago,1308 W North Ave,Chicago,60642,Cook,Zone 5.1,280000035,5,Chicago-Naperville-Elgin,7/30/2019
NuEra - East Peoria,504 Riverside Dr,East Peoria,61611,Tazewell,Zone 10.0,280000036,10,Peoria,12/1/2019
Thrive - Anna,87 Richview Drive,Anna,62906,Union,Zone 17.0,280000036,17,South Illinois Nonmetropolitan,4/28/2019
Curaleaf - Morris,2400 W US Route 6,Morris,60450,Grundy,Zone 14.1,280000037,5,Chicago-Naperville-Elgin,5/26/2019
NuEra - Urbana,105 E University Ave,Urbana,61801,Champaign,Zone 4.0,280000037,4,Champaign-Urbana,10/20/2019
Hatch - Addison,1433 W Fullerton Ave Ste C,Addison,60101,DuPage,Zone 5.52,280000038,5,Chicago-Naperville-Elgin,6/3/2019
The Dispensary - Fulton,1801 16th Ave,Fulton,61252,Fulton,Zone 7.0,280000039,15,West Central Illinois Nonmetropolitan,6/7/2019
Maribis - Chicago,4570 S Archer Ave,Chicago,60632,Cook,Zone 5.71,280000040,5,Chicago-Naperville-Elgin,7/27/2019
Rise - Effingham,1011 Ford Ave Ste C,Effingham,62401,Effingham,Zone 16.0,280000042,16,East Central IL Nonmetropolitan,8/23/2019
Beyond/Hello - Sauget (Goose Lake),2021 Goose Lake Rd,Sauget,62206,St. Clair,Zone 12.0,280000043,12,St. Louis,8/29/2019
Cannabist - Chicago,4758 N Milwaukee Ave,Chicago,60630,Cook,Zone 5.21,280000044,5,Chicago-Naperville-Elgin,8/29/2019
Beyond/Hello - Normal,501 W Northtown Rd,Normal,61761,McLean,Zone 1.0,280000045,1,Bloomington,9/12/2019
Consume - Chicago,6428 N Milwaukee Ave,Chicago,60631,Cook,Zone 5.21,280000047,5,Chicago-Naperville-Elgin,11/10/2019
Maribis - Springfield,2451 Denver Drive,Springfield,62702,Sangamon,Zone 13.0,280000049,13,Springfield,12/13/2019
Sunnyside - Wrigleyville,3524 N. Clark St.,Chicago,60657,Cook,Zone 5.1,280000050,5,Chicago-Naperville-Elgin,1/13/2019
Zen Leaf - Pilsen,1301 S Western Ave,Chicago,60608,Cook,Zone 5.11,280000051,5,Chicago-Naperville-Elgin,1/13/2019
Windy City - Litchfield,719 W Union Ave,Litchfield,62056,Montgomery,Zone 15.0,280000052,15,West Central Illinois Nonmetropolitan,3/14/2019
Mission - Chicago,8554 S Commercial Ave,Chicago,60617,Cook,Zone 5.71,280000053,5,Chicago-Naperville-Elgin,6/8/2019
Zen Leaf - Rogers Park,7305 N Rogers Ave,Chicago,60626,Cook,Zone 5.2,280000054,5,Chicago-Naperville-Elgin,3/23/2019
Bloom Wellness - Quincy (4440),4440 Broadway St Ste 1,Quincy,62305,Adams,Zone 15.0,284000004,15,West Central Illinois Nonmetropolitan,9/24/2019
Rise - Joliet (Colorado),2903 Colorado Ave.,Joliet,60431,Will,Zone 5.72,284000044,5,Chicago-Naperville-Elgin,12/19/2019
Rise - Quincy,2703 Broadway St,Quincy,62301,Adams,Zone 15.0,284000047,15,West Central Illinois Nonmetropolitan,1/13/2020
Ascend Moca - River North,216 W. Ohio St.,Chicago,60654,Cook,Zone 5.11,284000052,5,Chicago-Naperville-Elgin,4/3/2020
Sunnyside - River North,436 N. Clark St.,Chicago,60654,Cook,Zone 5.11,284000053,5,Chicago-Naperville-Elgin,4/3/2019
