Van,Licence Plate,HubLocation
Ford Transit 2500,247892C,HUB_SPR
Mercedes Sprinter,3200166B,HUB_SPR
Mercedes Sprinter,3603381B,HUB_SPR
Ram ProMaster,3644607B,HUB_SPR
Mercedes Sprinter,3200165B,HUB_SPR
Chevrolet Box Truck,216875C,HUB_SPR
Mercedes Sprinter,3664594B,HUB_PEK
Ram ProMaster,186245C,HUB_PEK
Mercedes Sprinter,3563978B,HUB_PEK
Chevrolet Box Truck,216481C,HUB_PEK
Chevrolet Box Truck,216486C,HUB_PEK
Mercedes Sprinter,3604601B,HUB_ROL
Ram ProMaster City,3665828B,HUB_ROL
Ford Transit 250 Cargo,3751415B,HUB_ROL
Ford Transit 250 Cargo,3920944B,HUB_ROL
Ford Transit Connect,4054835B,HUB_ROM
Mercedes Sprinter,3603382B,HUB_ROM
Mercedes Sprinter,3664593B,HUB_ROM
