Zone,License,District,District
1.0,284000085,1,Bloomington
1.0,280000045,1,Bloomington
1.0,284000325,1,Bloomington
1.0,284000321,1,Bloomington
1.0,284000332,1,Bloomington
1.0,284000221,1,Bloomington
1.0,284000225,15,West Central Illinois Nonmetropolitan
10.0,284000265,10,Peoria
10.0,284000233,10,Peoria
10.0,284000303,10,Peoria
10.0,284000319,10,Peoria
10.0,284000230,10,Peoria
10.0,284000209,10,Peoria
10.0,280000036,10,Peoria
10.0,284000116,10,Peoria
10.0,284000060,10,Peoria
10.0,280000014,10,Peoria
11.0,284000165,11,Rockford
11.0,284000166,11,Rockford
11.0,284000224,11,Rockford
11.0,280000010,11,Rockford
11.0,280000013,11,Rockford
11.0,284000059,11,Rockford
11.0,284000102,11,Rockford
12.0,284000169,12,St. Louis
12.0,280000022,12,St. Louis
12.0,284000104,12,St. Louis
12.0,280000043,12,St. Louis
12.0,284000079,12,St. Louis
12.0,284000304,12,St. Louis
12.0,284000320,12,St. Louis
12.0,284000168,12,St. Louis
12.0,284000302,12,St. Louis
12.0,284000330,12,St. Louis
12.0,284000167,12,St. Louis
12.0,284000258,12,St. Louis
12.0,284000234,12,St. Louis
13.0,280000029,13,Springfield
13.0,284000069,13,Springfield
13.0,284000178,13,Springfield
13.0,280000049,13,Springfield
13.0,284000119,13,Springfield
13.0,284000220,13,Springfield
13.0,284000179,13,Springfield
14.0,284000307,14,Northwest Illinois nonmetropolitan area
14.0,284000211,14,Northwest Illinois nonmetropolitan area
14.0,284000113,14,Northwest Illinois nonmetropolitan area
14.0,284000097,14,Northwest Illinois nonmetropolitan area
14.1,280000037,5,Chicago-Naperville-Elgin
14.1,284000170,14,Northwest Illinois nonmetropolitan area
14.1,284000161,5,Chicago-Naperville-Elgin
14.1,284000160,5,Chicago-Naperville-Elgin
14.1,280000008,14,Northwest Illinois nonmetropolitan area
15.0,284000138,15,West Central Illinois Nonmetropolitan
15.0,284000004,15,West Central Illinois Nonmetropolitan
15.0,284000213,15,West Central Illinois Nonmetropolitan
15.0,284000212,15,West Central Illinois Nonmetropolitan
15.0,284000054,15,West Central Illinois Nonmetropolitan
15.0,280000003,15,West Central Illinois Nonmetropolitan
15.0,284000047,15,West Central Illinois Nonmetropolitan
15.0,280000052,15,West Central Illinois Nonmetropolitan
15.0,284000112,15,West Central Illinois Nonmetropolitan
16.0,284000306,16,East Central IL Nonmetropolitan
16.0,284000172,16,East Central IL Nonmetropolitan
16.0,284000305,16,East Central IL Nonmetropolitan
16.0,284000130,16,East Central IL Nonmetropolitan
16.0,280000042,16,East Central IL Nonmetropolitan
16.0,284000171,16,East Central IL Nonmetropolitan
17.0,284000349,17,South Illinois Nonmetropolitan
17.0,280000036,17,South Illinois Nonmetropolitan
17.0,280000031,17,South Illinois Nonmetropolitan
17.1,284000340,17,South Illinois Nonmetropolitan
17.1,284000314,17,South Illinois Nonmetropolitan
17.1,284000122,17,South Illinois Nonmetropolitan
17.2,284000058,3,Carbondale-Marion
17.2,280000001,3,East Central IL Nonmetropolitan
17.2,284000215,3,Carbondale-Marion
17.2,284000331,3,Carbondale-Marion
17.3,284000226,17,South Illinois Nonmetropolitan
17.3,284000066,17,South Illinois Nonmetropolitan
17.4,284000255,17,South Illinois Nonmetropolitan
17.4,284000227,17,South Illinois Nonmetropolitan
2.0,284000214,2,Cape Girardeau
2.0,284000355,2,Cape Girardeau
3.0,284000215,3,Carbondale-Marion
4.0,284000259,4,Champaign-Urbana
4.0,284000115,4,Champaign-Urbana
4.0,280000037,4,Champaign-Urbana
4.0,284000173,6,Danville
4.0,280000035,4,Champaign-Urbana
4.0,284000056,6,Danville
4.0,284000216,4,Champaign-Urbana
4.0,284000316,6,Danville
5.1,280000028,5,Chicago-Naperville-Elgin
5.1,284000278,5,Chicago-Naperville-Elgin
5.1,284000276,5,Chicago-Naperville-Elgin
5.1,284000089,5,Chicago-Naperville-Elgin
5.1,284000186,5,Chicago-Naperville-Elgin
5.1,284000187,5,Chicago-Naperville-Elgin
5.1,284000232,5,Chicago-Naperville-Elgin
5.1,284000184,5,Chicago-Naperville-Elgin
5.1,284000263,5,Chicago-Naperville-Elgin
5.1,280000035,5,Chicago-Naperville-Elgin
5.1,284000267,5,Chicago-Naperville-Elgin
5.1,284000193,5,Chicago-Naperville-Elgin
5.1,280000050,5,Chicago-Naperville-Elgin
5.1,284000200,5,Chicago-Naperville-Elgin
5.1,284000155,5,Chicago-Naperville-Elgin
5.1,284000208,5,Chicago-Naperville-Elgin
5.11,284000052,5,Chicago-Naperville-Elgin
5.11,284000157,5,Chicago-Naperville-Elgin
5.11,284000073,5,Chicago-Naperville-Elgin
5.11,284000188,5,Chicago-Naperville-Elgin
5.11,284000248,5,Chicago-Naperville-Elgin
5.11,284000191,5,Chicago-Naperville-Elgin
5.11,284000237,5,Chicago-Naperville-Elgin
5.11,284000064,5,Chicago-Naperville-Elgin
5.11,284000293,5,Chicago-Naperville-Elgin
5.11,284000192,5,Chicago-Naperville-Elgin
5.11,284000053,5,Chicago-Naperville-Elgin
5.11,284000099,5,Chicago-Naperville-Elgin
5.11,280000051,5,Chicago-Naperville-Elgin
5.11,284000107,5,Chicago-Naperville-Elgin
5.2,284000093,5,Chicago-Naperville-Elgin
5.2,280000012,5,Chicago-Naperville-Elgin
5.2,284000249,5,Chicago-Naperville-Elgin
5.2,284000252,5,Chicago-Naperville-Elgin
5.2,284000143,5,Chicago-Naperville-Elgin
5.2,284000297,5,Chicago-Naperville-Elgin
5.2,280000009,5,Chicago-Naperville-Elgin
5.2,280000054,5,Chicago-Naperville-Elgin
5.21,284000280,5,Chicago-Naperville-Elgin
5.21,280000044,5,Chicago-Naperville-Elgin
5.21,280000047,5,Chicago-Naperville-Elgin
5.21,284000106,5,Chicago-Naperville-Elgin
5.21,284000082,5,Chicago-Naperville-Elgin
5.21,284000348,5,Chicago-Naperville-Elgin
5.21,284000147,5,Chicago-Naperville-Elgin
5.21,284000055,5,Chicago-Naperville-Elgin
5.21,284000317,5,Chicago-Naperville-Elgin
5.21,284000096,5,Chicago-Naperville-Elgin
5.3,284000324,5,Chicago-Naperville-Elgin
5.3,280000018,5,Chicago-Naperville-Elgin
5.3,284000090,5,Chicago-Naperville-Elgin
5.3,284000105,5,Chicago-Naperville-Elgin
5.3,284000142,5,Chicago-Naperville-Elgin
5.3,280000016,5,Chicago-Naperville-Elgin
5.3,284000100,5,Chicago-Naperville-Elgin
5.3,280000032,5,Chicago-Naperville-Elgin
5.51,284000343,5,Chicago-Naperville-Elgin
5.51,284000299,5,Chicago-Naperville-Elgin
5.51,284000065,5,Chicago-Naperville-Elgin
5.51,284000070,5,Chicago-Naperville-Elgin
5.51,284000117,5,Chicago-Naperville-Elgin
5.51,284000334,5,Chicago-Naperville-Elgin
5.51,28000041,5,Chicago-Naperville-Elgin
5.51,284000118,5,Chicago-Naperville-Elgin
5.51,284000279,5,Chicago-Naperville-Elgin
5.51,284000150,5,Chicago-Naperville-Elgin
